client_id,client_name,desk,jurisdiction,status
MC-1041,Kallang Industrial Holdings,Advisory,Singapore,Active
MC-1042,Tanjong Pagar Logistics,Private Credit,Singapore,Active
MC-1043,Sembawang Marine Services,Corporate Finance,Singapore,Active
MC-1044,Bukit Timah Asset Trust,Asset Management,Singapore,Active
MC-1045,Penang Semiconductor Bhd,Advisory,Malaysia,Active
MC-1046,Batam Port Ventures,Private Credit,Indonesia,Under review
MC-1047,Orchard Retail Group,Corporate Finance,Singapore,Active
MC-1048,Jurong Energy Partners,Advisory,Singapore,Active
MC-1049,Marina Bay Capital Trust,Asset Management,Singapore,Active
MC-1050,Johor Agritech Sdn Bhd,Private Credit,Malaysia,Dormant
