period,month,quarter,desk,revenue_sgd,deals
FY2025-01,Jan,Q1,Advisory,611000,5
FY2025-01,Jan,Q1,Asset Management,488000,4
FY2025-01,Jan,Q1,Private Credit,388000,4
FY2025-01,Jan,Q1,Corporate Finance,323000,3
FY2025-02,Feb,Q1,Advisory,579000,5
FY2025-02,Feb,Q1,Asset Management,462000,4
FY2025-02,Feb,Q1,Private Credit,367000,4
FY2025-02,Feb,Q1,Corporate Finance,306000,3
FY2025-03,Mar,Q1,Advisory,759000,6
FY2025-03,Mar,Q1,Asset Management,606000,5
FY2025-03,Mar,Q1,Private Credit,482000,5
FY2025-03,Mar,Q1,Corporate Finance,401000,4
FY2025-04,Apr,Q2,Advisory,643000,5
FY2025-04,Apr,Q2,Asset Management,514000,4
FY2025-04,Apr,Q2,Private Credit,408000,4
FY2025-04,Apr,Q2,Corporate Finance,340000,4
FY2025-05,May,Q2,Advisory,675000,5
FY2025-05,May,Q2,Asset Management,540000,5
FY2025-05,May,Q2,Private Credit,429000,4
FY2025-05,May,Q2,Corporate Finance,357000,4
FY2025-06,Jun,Q2,Advisory,739000,6
FY2025-06,Jun,Q2,Asset Management,591000,5
FY2025-06,Jun,Q2,Private Credit,470000,5
FY2025-06,Jun,Q2,Corporate Finance,391000,4
FY2025-07,Jul,Q3,Advisory,694000,6
FY2025-07,Jul,Q3,Asset Management,555000,5
FY2025-07,Jul,Q3,Private Credit,441000,4
FY2025-07,Jul,Q3,Corporate Finance,367000,4
FY2025-08,Aug,Q3,Advisory,611000,5
FY2025-08,Aug,Q3,Asset Management,488000,4
FY2025-08,Aug,Q3,Private Credit,388000,4
FY2025-08,Aug,Q3,Corporate Finance,323000,3
FY2025-09,Sep,Q3,Advisory,719000,6
FY2025-09,Sep,Q3,Asset Management,576000,5
FY2025-09,Sep,Q3,Private Credit,457000,4
FY2025-09,Sep,Q3,Corporate Finance,382000,4
FY2025-10,Oct,Q4,Advisory,759000,5
FY2025-10,Oct,Q4,Asset Management,597000,4
FY2025-10,Oct,Q4,Private Credit,476000,4
FY2025-10,Oct,Q4,Corporate Finance,384000,4
FY2025-11,Nov,Q4,Advisory,797000,5
FY2025-11,Nov,Q4,Asset Management,627000,5
FY2025-11,Nov,Q4,Private Credit,500000,4
FY2025-11,Nov,Q4,Corporate Finance,403000,4
FY2025-12,Dec,Q4,Advisory,834000,5
FY2025-12,Dec,Q4,Asset Management,656000,6
FY2025-12,Dec,Q4,Private Credit,524000,4
FY2025-12,Dec,Q4,Corporate Finance,423000,3
