quarter,desk,actual_sgd,target_sgd,variance_sgd,deals
Q1,Advisory,1949000,1890000,59000,16
Q2,Advisory,2057000,2000000,57000,16
Q3,Advisory,2024000,1960000,64000,17
Q4,Advisory,2390000,2410000,-20000,15
Q1,Asset Management,1556000,1600000,-44000,13
Q2,Asset Management,1645000,1690000,-45000,14
Q3,Asset Management,1619000,1670000,-51000,14
Q4,Asset Management,1880000,1940000,-60000,15
Q1,Private Credit,1237000,1220000,17000,13
Q2,Private Credit,1307000,1290000,17000,13
Q3,Private Credit,1286000,1270000,16000,12
Q4,Private Credit,1500000,1480000,20000,12
Q1,Corporate Finance,1030000,1080000,-50000,10
Q2,Corporate Finance,1088000,1140000,-52000,12
Q3,Corporate Finance,1072000,1130000,-58000,11
Q4,Corporate Finance,1210000,1270000,-60000,11
